step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
33,PAYMENT,1390.71,C2004043471,60737.0,59346.29,M2080290010,0.0,0.0,0,0
12,CASH_OUT,32303.01,C916205299,44680.3,12377.29,C1111891376,550629.0,0.0,0,0
178,TRANSFER,690968.57,C703920908,233993.0,0.0,C231590369,901195.44,1592164.01,0,0
184,CASH_IN,538007.95,C572609439,49988.0,587995.95,C628180509,73206.36,0.0,0,0
42,PAYMENT,22145.03,C70531711,173420.38,151275.35,M984657573,0.0,0.0,0,0
184,CASH_OUT,18600.79,C570323227,54791.0,36190.21,C350489361,62172.19,80772.98,0,0
333,PAYMENT,17478.19,C58763267,27989.0,10510.81,M1145625817,0.0,0.0,0,0
212,CASH_IN,62994.34,C728233186,1657578.24,1720572.57,C341886032,251555.56,188561.23,0,0
33,TRANSFER,41454.87,C293323801,0.0,0.0,C1134075142,482128.15,523583.02,0,0
234,PAYMENT,21325.49,C728661345,0.0,0.0,M2059369210,0.0,0.0,0,0
137,CASH_IN,28864.07,C429588433,3803748.03,3832612.1,C1186535773,1664143.29,1635279.22,0,0
393,PAYMENT,8664.43,C1408070355,445795.96,437131.53,M1367114044,0.0,0.0,0,0
215,PAYMENT,4566.01,C388913407,0.0,0.0,M490989052,0.0,0.0,0,0
186,TRANSFER,118812.6,C1758898850,0.0,0.0,C1485646336,2652606.84,2771419.44,0,0
212,PAYMENT,6993.27,C262798662,10331.04,3337.77,M662935607,0.0,0.0,0,0
186,CASH_IN,312482.42,C1761712352,7919143.97,8231626.39,C1940683101,976636.14,664153.73,0,0
234,CASH_IN,139134.21,C1897536130,61315.0,200449.21,C751733806,2107345.74,1968211.53,0,0
210,CASH_OUT,109768.51,C525809209,12859.58,0.0,C1439225149,491540.51,601309.02,0,0
214,PAYMENT,12486.3,C38286454,592.0,0.0,M999787469,0.0,0.0,0,0
332,TRANSFER,151380.17,C1472361123,261239.0,109858.83,C561913330,23046.4,174426.57,0,0
298,PAYMENT,16445.76,C1109369997,0.0,0.0,M777711429,0.0,0.0,0,0
137,CASH_IN,124606.83,C2096659171,6718956.49,6843563.31,C1662761228,8534919.3,8410312.47,0,0
160,CASH_IN,213473.45,C1282343594,6470855.2,6684328.65,C155404263,709312.17,495838.72,0,0
130,PAYMENT,6249.36,C1427578344,111536.4,105287.04,M1558467910,0.0,0.0,0,0
304,CASH_IN,300290.31,C1015379412,155189.01,455479.32,C1017662921,321183.94,20893.64,0,0
16,CASH_IN,173987.23,C1843856598,6053.0,180040.23,C1418075261,11311.0,0.0,0,0
565,PAYMENT,9498.66,C588728090,0.0,0.0,M2038952590,0.0,0.0,0,0
402,TRANSFER,142710.04,C2012509673,0.0,0.0,C27090858,797875.69,940585.73,0,0
226,CASH_OUT,102861.88,C1614619997,11567.0,0.0,C855871108,1067370.12,1170231.99,0,0
596,PAYMENT,1307.3,C1111619603,160980.24,159672.94,M2071603739,0.0,0.0,0,0
370,PAYMENT,11769.91,C803639919,45921.03,34151.12,M1524573503,0.0,0.0,0,0
277,PAYMENT,2364.83,C382370612,0.0,0.0,M429075347,0.0,0.0,0,0
308,CASH_OUT,62302.97,C78527478,0.0,0.0,C218711872,327889.59,390192.56,0,0
274,CASH_OUT,126121.34,C1961267077,0.0,0.0,C518403048,321553.0,447674.34,0,0
492,PAYMENT,4241.28,C678079668,0.0,0.0,M1780348068,0.0,0.0,0,0
159,CASH_OUT,76258.78,C1436026842,0.0,0.0,C117417155,281248.77,357507.55,0,0
326,CASH_OUT,455483.02,C1111884413,7112.0,0.0,C1375280796,0.0,455483.02,0,0
131,CASH_OUT,56019.83,C1454563151,0.0,0.0,C1072768796,480466.32,536486.15,0,0
281,PAYMENT,223.68,C2071005148,415.0,191.32,M721630899,0.0,0.0,0,0
262,CASH_OUT,162147.39,C203113151,0.0,0.0,C519258844,1635587.39,1797734.78,0,0
33,CASH_OUT,85514.54,C239281576,83235.0,0.0,C131671914,818226.29,903740.82,0,0
249,CASH_IN,68258.75,C817086825,20372.0,88630.75,C43048808,0.0,0.0,0,0
180,CASH_OUT,261447.03,C47595693,650.0,0.0,C1191646059,529066.67,790513.7,0,0
257,PAYMENT,10266.41,C569345389,4089.0,0.0,M331245484,0.0,0.0,0,0
301,TRANSFER,1106526.88,C1795186846,648.0,0.0,C1859884987,0.0,1106526.88,0,0
278,CASH_IN,38668.65,C790925282,32510.0,71178.65,C1375326600,0.0,0.0,0,0
381,CASH_OUT,255187.62,C1829327113,0.0,0.0,C300656782,3108814.72,3364002.34,0,0
402,CASH_IN,257532.57,C396582231,10010.0,267542.57,C158822620,698874.84,441342.27,0,0
401,PAYMENT,15390.53,C259535241,233157.06,217766.53,M864790331,0.0,0.0,0,0
236,CASH_OUT,45193.91,C125412102,21481.0,0.0,C1627891027,7087.29,52281.2,0,0
17,CASH_OUT,261739.98,C653740826,0.0,0.0,C2117222522,1970015.18,2011725.58,0,0
229,CASH_IN,296340.18,C1405630975,7138.0,303478.18,C1265655539,360468.75,64128.57,0,0
16,CASH_IN,156487.45,C533936921,7989075.47,8145562.91,C939157240,968577.94,812090.5,0,0
211,CASH_IN,18450.5,C336673858,206932.0,225382.5,C1154836201,322366.16,303915.66,0,0
15,CASH_OUT,78253.5,C808334935,30717.0,0.0,C1900352252,1068.0,79321.5,0,0
135,PAYMENT,7793.59,C1459895031,0.0,0.0,M729355107,0.0,0.0,0,0
177,PAYMENT,2906.13,C322695586,69664.0,66757.87,M900042918,0.0,0.0,0,0
346,PAYMENT,2689.48,C1782092055,0.0,0.0,M1070850445,0.0,0.0,0,0
688,CASH_OUT,207152.24,C815453495,66612.0,0.0,C583329688,142475.96,349628.2,0,0
212,PAYMENT,13677.68,C144326664,0.0,0.0,M226437580,0.0,0.0,0,0
326,PAYMENT,37442.26,C697080209,0.0,0.0,M1563569797,0.0,0.0,0,0
230,PAYMENT,4187.18,C1247653583,0.0,0.0,M872629515,0.0,0.0,0,0
374,PAYMENT,4323.64,C730313204,0.0,0.0,M1710783816,0.0,0.0,0,0
185,CASH_IN,204935.3,C270235562,41002.0,245937.3,C2022481880,35072.34,3763.69,0,0
330,CASH_OUT,62212.75,C1917710402,0.0,0.0,C2117093113,246288.54,308501.29,0,0
157,CASH_IN,194509.22,C1279922431,12924.0,207433.22,C851621334,0.0,0.0,0,0
139,PAYMENT,1638.11,C1732363654,434589.9,432951.79,M1832155938,0.0,0.0,0,0
322,CASH_OUT,449172.31,C1093687282,136.0,0.0,C1889420781,0.0,449172.31,0,0
547,PAYMENT,1278.84,C583793609,0.0,0.0,M1276168667,0.0,0.0,0,0
35,PAYMENT,18162.88,C727065854,12079.0,0.0,M895154845,0.0,0.0,0,0
325,CASH_IN,379719.79,C1137614749,9830790.59,10210510.39,C664014420,2229178.51,1849458.72,0,0
204,TRANSFER,417203.76,C1316956858,22732.41,0.0,C824758302,0.0,417203.76,0,0
227,CASH_IN,131461.92,C607486965,722730.28,854192.21,C2058468294,703518.14,572056.21,0,0
95,TRANSFER,146700.92,C1008519788,0.0,0.0,C914901470,1327408.95,1474109.87,0,0
408,PAYMENT,26146.05,C770061433,0.0,0.0,M848974583,0.0,0.0,0,0
14,CASH_OUT,40595.6,C932969050,0.0,0.0,C963036390,874250.28,715899.1,0,0
404,CASH_OUT,101371.59,C33350660,11063.0,0.0,C1031791455,358712.44,460084.03,0,0
397,PAYMENT,31125.18,C1104169118,0.0,0.0,M677910427,0.0,0.0,0,0
377,CASH_OUT,20679.88,C389894738,0.0,0.0,C1852488118,36580.5,57260.38,0,0
574,CASH_IN,61423.89,C228000861,948.0,62371.89,C1608222252,0.0,0.0,0,0
131,PAYMENT,17004.53,C1554402444,0.0,0.0,M244084732,0.0,0.0,0,0
231,CASH_IN,101560.8,C866883956,1064932.29,1166493.09,C655103492,194702.43,93141.63,0,0
326,PAYMENT,37156.42,C2028021566,0.0,0.0,M1160088893,0.0,0.0,0,0
203,PAYMENT,3426.22,C1112384449,0.0,0.0,M401724229,0.0,0.0,0,0
259,CASH_OUT,187514.81,C430759715,360163.0,172648.19,C1449084717,0.0,187514.81,0,0
18,CASH_IN,57504.45,C2137057191,267203.31,324707.76,C2051343924,83641.7,26137.25,0,0
331,TRANSFER,92504.77,C2062775062,985.0,0.0,C653432259,0.0,92504.77,0,0
357,PAYMENT,4873.04,C2010025027,446.0,0.0,M1528859519,0.0,0.0,0,0
42,PAYMENT,2443.1,C1473101545,0.0,0.0,M2066271019,0.0,0.0,0,0
235,CASH_IN,100137.99,C333112501,228595.15,328733.14,C2110103514,2673910.36,2573772.37,0,0
182,CASH_OUT,50260.86,C1645063502,0.0,0.0,C441666819,227271.89,277532.75,0,0
177,CASH_IN,184318.14,C305777245,2092519.89,2276838.04,C1887224882,1899733.58,1715415.43,0,0
249,TRANSFER,401492.58,C1348033648,59896.0,0.0,C1120903621,0.0,401492.58,0,0
138,CASH_OUT,180087.28,C375880196,337383.22,157295.95,C1714051296,3058776.89,3238864.16,0,0
153,CASH_OUT,203262.24,C994439212,0.0,0.0,C414821585,6441265.21,6287617.44,0,0
589,CASH_OUT,151571.81,C2017037212,0.0,0.0,C1800802457,346900.23,498472.04,0,0
138,CASH_IN,21701.42,C1545150085,2350729.4,2372430.82,C1825359761,215804.22,294692.36,0,0
280,CASH_IN,76178.54,C1663260543,3299908.75,3376087.28,C1575523954,498013.95,421835.41,0,0
261,TRANSFER,356015.65,C1015616144,214684.0,0.0,C1533724203,0.0,356015.65,0,0
15,CASH_OUT,229815.99,C538466964,0.0,0.0,C1229323524,1033560.08,1263376.07,0,0
373,CASH_IN,377102.81,C1602588507,149794.0,526896.81,C805150825,3245305.8,2868202.99,0,0
235,CASH_OUT,15067.98,C360873356,19833.0,4765.02,C699459605,655068.04,670136.01,0,0
21,CASH_IN,244709.34,C703657331,19862370.63,20107079.97,C1410301341,5436024.13,5191314.79,0,0
401,TRANSFER,556791.02,C798620771,0.0,0.0,C513375159,3041047.69,3597838.71,0,0
322,PAYMENT,19228.32,C1120410416,0.0,0.0,M293616420,0.0,0.0,0,0
232,CASH_OUT,29173.85,C1883517794,0.0,0.0,C1755890136,64873.72,94047.57,0,0
12,PAYMENT,42339.33,C531897691,0.0,0.0,M1767600655,0.0,0.0,0,0
300,CASH_OUT,20361.1,C502216725,13315.0,0.0,C1218941112,0.0,20361.1,0,0
307,PAYMENT,4000.33,C2117705351,0.0,0.0,M877835669,0.0,0.0,0,0
282,CASH_IN,174069.12,C1836063103,6780363.0,6954432.12,C1782866804,1951539.18,1777470.06,0,0
42,CASH_IN,74249.72,C1219293969,31336.0,105585.72,C1180028336,1181979.45,1107729.73,0,0
143,PAYMENT,6743.88,C1178550901,0.0,0.0,M1247433639,0.0,0.0,0,0
305,CASH_OUT,466061.81,C782789379,25473.0,0.0,C706003794,55912.61,521974.42,0,0
308,CASH_OUT,182446.46,C1925012771,0.0,0.0,C465513602,336455.61,518902.07,0,0
332,CASH_OUT,256252.31,C837420836,0.0,0.0,C1127992749,721717.67,977969.98,0,0
133,PAYMENT,13171.31,C403841211,219970.1,206798.79,M1688887770,0.0,0.0,0,0
10,CASH_IN,172995.27,C683336570,3349499.13,3522494.4,C421639228,4521874.65,5563438.54,0,0
567,TRANSFER,385970.94,C1453513008,0.0,0.0,C2008882326,7892650.0,8278620.95,0,0
180,PAYMENT,13374.73,C737745120,639.0,0.0,M2038860941,0.0,0.0,0,0
16,PAYMENT,7363.5,C202608154,557915.76,550552.27,M1489017031,0.0,0.0,0,0
41,CASH_OUT,94906.75,C2093429256,0.0,0.0,C810536891,352119.33,447026.08,0,0
38,PAYMENT,22151.54,C328578247,120538.0,98386.46,M1045047099,0.0,0.0,0,0
229,CASH_IN,187144.95,C1943800707,300557.0,487701.95,C1168162491,33507.25,0.0,0,0
429,CASH_IN,5045.52,C107286577,1607654.48,1612700.0,C928805262,592399.98,587354.47,0,0
250,CASH_IN,80189.29,C761473852,606323.51,686512.8,C793783602,539549.63,459360.34,0,0
592,CASH_IN,19551.67,C309926286,4221615.69,4241167.36,C76166483,57666.36,38114.69,0,0
281,CASH_OUT,192985.18,C1069708995,93780.0,0.0,C1170481992,0.0,192985.18,0,0
330,CASH_IN,30264.26,C640579547,354552.18,384816.43,C908161728,140515.67,110251.41,0,0
348,PAYMENT,23583.83,C276775850,343309.94,319726.11,M582832502,0.0,0.0,0,0
299,TRANSFER,437299.96,C158507561,0.0,0.0,C2139356892,3969287.62,4406587.58,0,0
21,CASH_OUT,193467.18,C304585580,0.0,0.0,C542566597,2820141.05,3013608.23,0,0
36,PAYMENT,4351.43,C2087649727,12709.0,8357.57,M1817502741,0.0,0.0,0,0
297,PAYMENT,1300.85,C199907336,0.0,0.0,M763803073,0.0,0.0,0,0
260,CASH_OUT,298337.59,C1811001419,0.0,0.0,C830875550,1351963.98,1636875.83,0,0
19,CASH_OUT,40234.21,C1929580137,6516.0,0.0,C1489541438,334078.08,374312.29,0,0
19,CASH_OUT,103969.68,C734734822,142135.0,38165.32,C1207572177,154909.13,431679.1,0,0
205,CASH_OUT,236026.8,C2121186486,203581.28,0.0,C1996640510,498163.96,734190.76,0,0
354,CASH_IN,63601.53,C114098059,2711895.86,2775497.4,C1755527045,98763.02,35161.49,0,0
166,CASH_IN,106142.06,C1761696327,8146292.18,8252434.24,C518173085,2871971.3,2765829.24,0,0
18,CASH_IN,75579.0,C150200788,129454.0,205033.0,C318322468,323329.22,187396.2,0,0
283,CASH_OUT,135667.65,C1998276831,25944.0,0.0,C632280413,0.0,135667.65,0,0
9,PAYMENT,1402.47,C750252589,51825.0,50422.53,M162080399,0.0,0.0,0,0
44,CASH_OUT,29900.47,C1757839111,9149.0,0.0,C1828559933,1977528.13,2161550.38,0,0
207,TRANSFER,89660.31,C255572440,0.0,0.0,C961866378,388251.96,477912.27,0,0
307,PAYMENT,10753.71,C312089113,0.0,0.0,M913024080,0.0,0.0,0,0
42,PAYMENT,14665.89,C1613954321,67752.0,53086.11,M321189634,0.0,0.0,0,0
183,CASH_IN,476958.65,C1185306629,49854.0,526812.65,C1488291303,0.0,0.0,0,0
182,PAYMENT,6224.41,C637639579,11335.0,5110.59,M586603457,0.0,0.0,0,0
225,CASH_OUT,426561.55,C1679081514,5257.0,0.0,C749026504,0.0,426561.55,0,0
11,CASH_OUT,539344.95,C1428225879,1017.0,0.0,C2097746349,0.0,539344.95,0,0
183,TRANSFER,382688.1,C335352763,188.0,0.0,C567779080,260572.83,643260.92,0,0
326,CASH_OUT,227797.83,C155757018,0.0,0.0,C1815151841,299521.0,527318.83,0,0
159,CASH_OUT,1883.64,C1449285574,301802.0,299918.36,C1795759632,276946.4,278830.04,0,0
162,TRANSFER,670609.65,C1781731187,885.15,0.0,C1671306796,2482962.85,3153572.5,0,0
17,PAYMENT,2533.26,C383818638,38748.38,36215.12,M1405896889,0.0,0.0,0,0
188,CASH_OUT,227170.63,C9499567,8962.89,0.0,C1760798619,318637.91,545808.54,0,0
36,CASH_OUT,19840.87,C1189263961,659.0,0.0,C1231457291,72758.72,92599.58,0,0
180,PAYMENT,15041.61,C1753788787,8924.0,0.0,M68454960,0.0,0.0,0,0
137,PAYMENT,38884.55,C36326738,0.0,0.0,M1776777315,0.0,0.0,0,0
236,PAYMENT,15179.52,C76562713,37062.0,21882.48,M1876007638,0.0,0.0,0,0
129,CASH_OUT,99436.86,C1070629426,18227.45,0.0,C1082654231,370783.24,470220.1,0,0
329,PAYMENT,10033.01,C349904291,0.0,0.0,M1729387998,0.0,0.0,0,0
130,CASH_OUT,58466.39,C1935433845,21989.0,0.0,C82265241,0.0,58466.39,0,0
135,PAYMENT,2628.88,C1918051637,0.0,0.0,M934308155,0.0,0.0,0,0
230,TRANSFER,957136.94,C539914232,0.0,0.0,C1675669008,1257335.39,2214472.33,0,0
184,CASH_OUT,40888.09,C1525597723,0.0,0.0,C1978515789,1448211.29,1489099.38,0,0
214,PAYMENT,348.8,C1596213191,16212.0,15863.2,M1935356229,0.0,0.0,0,0
138,CASH_OUT,44979.48,C518742609,40776.0,0.0,C1365507810,5078128.93,5123108.41,0,0
43,PAYMENT,4772.79,C503412610,148077.57,143304.78,M486301907,0.0,0.0,0,0
159,PAYMENT,474.81,C1517765739,0.0,0.0,M1830621896,0.0,0.0,0,0
226,CASH_OUT,118912.53,C1083296801,14822.0,0.0,C878333796,52826.55,171739.07,0,0
351,CASH_OUT,178413.19,C1862470681,0.0,0.0,C853700455,409592.45,588005.65,0,0
139,CASH_OUT,35135.87,C1976742995,50507.0,15371.13,C1529729472,0.0,35135.87,0,0
354,PAYMENT,17433.75,C1188829417,100410.12,82976.37,M2057960183,0.0,0.0,0,0
352,CASH_OUT,71692.46,C632706266,29768.0,0.0,C1190376025,0.0,71692.46,0,0
33,PAYMENT,20591.6,C23361430,150412.76,129821.16,M893413090,0.0,0.0,0,0
369,CASH_OUT,186886.72,C949328568,0.0,0.0,C1692819830,2246512.37,2433399.09,0,0
280,CASH_IN,29993.12,C2114061387,172802.0,202795.12,C65197494,2856807.77,2826814.65,0,0
206,CASH_IN,117712.14,C1422493775,0.0,117712.14,C317803651,1040968.13,923256.0,0,0
8,TRANSFER,875890.91,C2055936784,278.0,0.0,C675203915,4522236.63,5398127.54,0,0
11,CASH_IN,57378.39,C2082808311,140700.0,198078.39,C2139164705,0.0,0.0,0,0
400,CASH_OUT,61152.68,C855714383,19346.0,0.0,C1458683433,167903.41,229056.09,0,0
285,PAYMENT,1959.81,C485469840,20877.0,18917.19,M1567689255,0.0,0.0,0,0
395,CASH_OUT,90415.78,C1881556936,0.0,0.0,C832239459,612489.05,702904.82,0,0
396,PAYMENT,21444.28,C786407939,0.0,0.0,M547273553,0.0,0.0,0,0
161,PAYMENT,7630.79,C1298442902,0.0,0.0,M1072776425,0.0,0.0,0,0
192,CASH_IN,105459.73,C522159078,1286.0,106745.73,C874641676,0.0,0.0,0,0
208,PAYMENT,5522.06,C1021767204,0.0,0.0,M139977306,0.0,0.0,0,0
329,CASH_IN,177349.19,C180401749,11660216.81,11837566.0,C1409260691,499302.59,321953.4,0,0
209,CASH_IN,125046.75,C516959367,1868569.64,1993616.39,C233187343,485371.38,360324.62,0,0
203,CASH_OUT,36402.18,C914332906,24417.0,0.0,C928599249,416290.41,452692.59,0,0
206,TRANSFER,559231.31,C1039874173,0.0,0.0,C1749707061,5136787.61,5696018.92,0,0
137,PAYMENT,7287.79,C735950079,20066.0,12778.21,M1343404659,0.0,0.0,0,0
18,CASH_OUT,329402.44,C54355024,102332.0,0.0,C578402064,2053823.36,2368811.38,0,0
133,PAYMENT,5432.03,C237296209,0.0,0.0,M553554098,0.0,0.0,0,0
230,PAYMENT,9574.92,C616722980,0.0,0.0,M994463263,0.0,0.0,0,0
378,CASH_OUT,360881.75,C695320090,0.0,0.0,C1959711686,531433.05,892314.8,0,0
258,TRANSFER,202854.34,C1614533063,2774.61,0.0,C1213177856,446649.71,649504.05,0,0
374,CASH_OUT,30975.23,C1564703217,0.0,0.0,C674306325,48974.48,79949.71,0,0
311,CASH_OUT,472633.31,C1431895543,0.0,0.0,C1474356451,17560564.25,18033197.55,0,0
94,PAYMENT,6987.05,C1150297644,61764.0,54776.95,M471968262,0.0,0.0,0,0
155,CASH_IN,145644.77,C408347680,15801.0,161445.77,C1103632829,0.0,0.0,0,0
136,CASH_OUT,131144.71,C1352764878,0.0,0.0,C1199227737,704631.34,835776.04,0,0
303,TRANSFER,2239288.62,C1859466587,53061.0,0.0,C327619561,843.13,2240131.75,0,0
43,CASH_OUT,290480.38,C1562475514,50708.0,0.0,C874871851,10706.61,301186.99,0,0
184,PAYMENT,40435.79,C1079195610,23532.0,0.0,M1077482553,0.0,0.0,0,0
134,CASH_IN,121559.08,C2039980829,6508126.46,6629685.54,C307876922,786647.44,665088.36,0,0
257,PAYMENT,2461.62,C840704653,89509.0,87047.38,M1769433437,0.0,0.0,0,0
350,CASH_IN,125746.62,C620952020,6849615.6,6975362.22,C1043301656,1457083.23,1331336.61,0,0
250,CASH_OUT,423803.66,C256904913,0.0,0.0,C953694204,892409.0,1541728.92,0,0
180,CASH_OUT,285118.89,C1147475098,6948.0,0.0,C256712923,1128774.44,1413893.33,0,0
206,PAYMENT,7122.97,C1904954870,16067.0,8944.03,M1918234246,0.0,0.0,0,0
327,CASH_IN,154164.95,C611992057,34.0,154198.95,C1970406189,703249.35,8469430.06,0,0
282,CASH_IN,12907.74,C171275693,2274128.74,2287036.48,C423885500,881214.04,868306.3,0,0
401,CASH_OUT,233275.49,C1284380066,0.0,0.0,C38212512,959504.89,1192780.38,0,0
402,CASH_IN,246057.81,C1554785510,210.0,246267.81,C1961980882,1323249.78,1077191.97,0,0
179,CASH_IN,228187.98,C632972017,527477.0,755664.98,C331416300,420369.64,192181.67,0,0
38,CASH_OUT,195587.22,C837538628,0.0,0.0,C1442646350,468085.11,663672.33,0,0
209,CASH_IN,167229.62,C1335338127,1388547.75,1555777.36,C1816986148,11793338.49,11626108.87,0,0
601,PAYMENT,6600.44,C1346014904,21520.0,14919.56,M2018862189,0.0,0.0,0,0
42,PAYMENT,1040.46,C1140527180,0.0,0.0,M1534087860,0.0,0.0,0,0
259,CASH_OUT,44974.1,C570076222,0.0,0.0,C1644361794,70353.71,115327.81,0,0
250,PAYMENT,24258.15,C1221436700,875684.15,851426.0,M1526265020,0.0,0.0,0,0
234,CASH_IN,110890.53,C1748252137,14401.0,125291.53,C1118200526,0.0,0.0,0,0
